Calories,NumberOfMeals,Breakfast,Lunch,Dinner,Snack,Snack2
2219.25,4,Egg Mushroom Cups,Strawberry and Almond Butter Fruit Smoothie,Turkey Hummus Wrap,Cauliflower and Hummus Snack,
2219.25,5,Korean-Style Steamed Eggs,Yogurt with Apricot and Grapefruit,Banana and Berries Smoothie,Lebanese Fresh Thyme Tomato Salad,"Toast with Cantaloupe, Walnuts, Agave & Goat Cheese"
2501.7,3,Banana and Strawberry Wrap,Blueberry Yogurt,Blueberry Almond Butter Protein Smoothie,,
2501.7,4,Blueberry and Sunflower Seed Steel Cut Oatmeal,Rice Cake with Strawberries and Honey,Turkey Veggie Hummus Wrap,Strawberry and Walnut Spinach Salad,
2501.7,5,Blueberry Protein Oatmeal,Chicken and avocado salad,Light Raspberry yogurt,Sardine Salad Sandwich,Herb and Lemon Fish
2784.15,3,Vegetable 3 Egg Scramble,Cinnamon Honey Cottage Cheese,Tropical Green Protein Smoothie,,
2784.15,4,Blueberry Oatmeal,Yogurt & Banana Chips,Chocolate peanut protein shake,Spinach and Broccoli Salad,
2784.15,5,Chocolate Oats,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Blueberry Parfait,Orange Dream Protein Smoothie,Curried Popcorn
3066.6,3,Oatmeal banana protein shake,Cinnamon Banana Mug Cake,Greek Yogurt and Berry Parfait,,
3066.6,4,Gourmet Croissants,Light Peach Yogurt,Quick Avocado Tuna Sandwich,Spinach Salad with Blackberries,
3066.6,5,Protein Banana Egg Pancakes,Apples and Almond Butter,Chilled Cucumber Avocado Soup,Yogurt with Papaya,Date Wraps
1892.5,3,Chocolate Peanut Butter Oatmeal Protein Shake,Peanut Butter and Peach Toast,Simple Ham and Lettuce Sandwich,,
1892.5,4,Creamy Green Chia Smoothie,PB & Dates Energy Bites,Simple Lemon Pepper Tuna,"Avocado, Strawberry, and Spinach Salad",
1892.5,5,Banana Protein Pancakes,Rice Cakes with Banana & Almond Butter,Blackberry Yogurt Parfait,Avocado Rice Cake,Chocolate Almond Milk Protein Shake
2271,3,Herb Omelette with Fried Tomatoes,"Orange, Banana, and Grape Smoothie",Tangy Tuna Wrap,,
2271,4,Greek Yogurt and Berry Parfait,Guacamole on Tostada,Turkey Hummus Wrap,Cauliflower and Hummus Snack,
2271,5,Cheesy Scrambled Eggs With Scallions,Apple,Tuna & White Bean Salad,Brussels Sprout Slaw,"Turkey, Ham, and Avocado on Rye"
2602.19,3,Scrambled Eggs on Toast with Vegemite and Avocado,Yogurt & Apricots,Post-Workout Peanut Butter Shake,,
2602.19,4,Peanut Butter and Honey Toast,Chocolate Avocado Smoothie,Chicken Celery Sticks,Apples and Almond Butter,
2602.19,5,Protein Power Oats,"Strawberry, Peach, and Chia Smoothie",Paleo Avocado Tuna Salad (Tuna in Water),"Banana, Almond Butter, and Dates","Cream Cheese, Lox, and Capers English Muffin"
2933.38,3,Pumpkin Pie Spiced Waffles,Yogurt & Dried Mango,Post-Workout Peanut Butter Shake,,
2933.38,4,Chicken and Dill Protein Scramble,Peanut Butter Banana Smoothie,Salmon Salad,Cauliflower and Hummus Snack,
2933.38,5,Low Carb Pancakes,Whey Chocolate Shake,Simple Ham and Lettuce Sandwich,Nonfat greek yogurt,Curried Popcorn
3264.56,3,Scrambled Eggs with Bacon and Avocado,Yogurt & Raisins,Strawberry Coconut Milkshake,,
3264.56,4,Banana Protein Pancakes with Yogurt Glaze,Peaches and Almond Butter on Toast,Quick Avocado Tuna Sandwich,Lemon Avocado Salad,
3264.56,5,Protein Power Oats,Raspberry Yogurt Parfait,Tuna Salad,Blueberry & Grapes with Brown Sugar Cream,Maple Vinaigrette Couscous Salad
3595.75,3,Peanut Butter and Honey Oatmeal,Yogurt with Walnuts & Honey,Simple Ham and Lettuce Sandwich,,
3595.75,4,Strawberry Oatmeal Protein Smoothie,3 Herb Breakfast Patties,Spicy Tuna Salad,Cranberry Feta Pinwheels,
3595.75,5,Fried Egg Sandwich,Yogurt & Mango,Banana oatmeal smoothie,Lebanese Fresh Thyme Tomato Salad,Salmon Wrapped Avocado
1489,3,Yogurt with Avocado & Basil,Turkish Style Zucchini Fritters,Raspberries and Blackberries Protein Smoothie,,
1489,4,"Ham, Egg, and Spinach Roll-Ups",Yogurt with Pumpkin & Cinnamon,"Turkey, Cheddar, and Mustard Sandwich",Meditteranean Salad,
1489,5,Egg and Onion Scramble,"Toast with Tomato, Onion, & Hummus",Sardine Salad Sandwich,Maple Pumpkin Cottage Cheese,Veggie Nori Roll
1786.8,3,Blackberry Almond Butter Sandwich,Cottage Cheese with Apples & Cinnamon,Strawberry Protein Yogurt Smoothie,,
1786.8,4,Savory Cr?pes,Blueberry Yogurt,Tuna and Hummus,Strawberry and Almond Butter Fruit Smoothie,
1786.8,5,Spinach and Mushroom Breakfast Scramble,Cucumber Avocado Toast,Chocolate Almond Milk Protein Shake,Tomato Basil Layered Salad,Almonds and Blueberries Yogurt Snack
2047.38,3,Avocado and Salmon Toast,Yogurt with Grapefruit & Honey,Banana Bread Kefir smoothie,,
2047.38,4,Banana Peanut Butter Chia Pudding,Blueberry Yogurt,"Berry, Spinach, and Avocado Smoothie",Turkey and Avocado Wrap,
2047.38,5,3-Vegetable Tofu Scramble,Peaches and Almond Butter on Toast,PB&J Smoothie,Turkish Style Salad,"Toast with Cantaloupe, Walnuts, Agave & Goat Cheese"
2307.95,3,Canadian Bacon Breakfast Sandwich,Crispy Cheese Quesadilla,Paleo Avocado Chicken Salad,,
2307.95,4,Spinach Tomato Quesadilla,Toast with Tomato and Hummus,Quick Avocado Tuna Sandwich,Avocado Rice Cake,
2307.95,5,Scrambled Eggs on Toast with Vegemite and Avocado,High Potassium Fruit Salad,Chicken and avocado salad,Grapes,"Turkey, Ham, and Avocado on Rye"
2568.53,3,Spinach Onion Scramble,Protein Berry Crumble,Mocha Berry Almond Smoothie,,
2568.53,4,Blueberry and Sunflower Seed Steel Cut Oatmeal,Light Nectarine Yogurt,Vanilla Protein Milkshake,Asian Avocado,
2568.53,5,Blackberry Yogurt Parfait,Peaches and Almond Butter on Toast,Tuna Salad  Wrap,Black Olives with Cheddar,Trail Mix
2829.1,3,Cottage Cheese with Raspberries,Chocolate Peanut Hazelnut Banana shake,Red Eye Protein Parfait,,
2829.1,4,"Vanilla, Banana, and Kale Protein Smoothie",Cinnamon Banana Mug Cake,Apple Walnut Parfait,Spinach Tomato Salad,
2829.1,5,Breakfast Parfait,Cheese On Toast,Chocolate Milk Whey Protein Shake,Pinto Bean salad,Sardine Salad Sandwich
1933.75,3,Banana & Almond Butter Toast,Yogurt with Almonds & Honey,Chocolate Peanut Butter Oatmeal Protein Shake,,
1933.75,4,Tomatillo and Avocado Scramble,Cottage Cheese and Strawberry Toast,Cilantro Crab & Corn Stuffed Peppers,Cucumber Boats with Spicy Hummus,
1933.75,5,Chocolate Peanut Butter Oatmeal Protein Shake,Nonfat yogurt,Lemon-Pepper Tuna Sandwich,Cauliflower and Tahini,Avocado Chickpea Lettuce Wraps
2320.5,3,Egg and Greens Skillet,Yogurt & Raisins,Oatmeal banana protein shake,,
2320.5,4,Protein Southwest Scramble,Yogurt & Pineapple,Spicy Tuna Salad,Quick Grapefruit,
2320.5,5,Blueberry Banana Smoothie,Microwave Poached Eggs,Cilantro Crab & Corn Stuffed Peppers,Brussels Sprout Slaw,Blueberry Vanilla Greek Yogurt
2658.91,3,Steak and Eggs Hash,Cinnamon Apple Delight,Mexican Cottage Cheese Salad,,
2658.91,4,Chicken and Dill Protein Scramble,"Blueberry, Banana, and Strawberry Smoothie",Cilantro Crab & Corn Stuffed Peppers,Peach and Peanut Butter Snack,
2658.91,5,Eggs Baked in Avocado with Bacon,Yogurt & Honeydew Melon,Tuna Salad  Wrap,Raw Cauliflower Tabouli,Sardine Salad Sandwich
2997.31,3,Pumpkin Pie Spiced Waffles,Sweet Cottage Cheese & Blue Berries,1000 Calorie Shake,,
2997.31,4,"Spinach, Onion, Mushroom, and Bell Pepper Egg White Omelet",Rice Cake with Peanut Butter and Chocolate Chips,Corn Tuna Salad,Whey Chocolate Shake,
2997.31,5,Egg and Onion Scramble,Almond Butter Banana Toast,Cilantro Crab & Corn Stuffed Peppers,Yogurt with Pumpkin & Cinnamon,Curried Popcorn
3335.72,3,"Peanut Butter, Banana, and Oatmeal Pancakes","Toast with Tomato, Onion, & Hummus",Yogurt Chocolate Banana Shake,,
3335.72,4,"Spinach, Onion, Mushroom, and Bell Pepper Egg White Omelet",Peanut Butter Bagel,Raspberry Peanut Butter Protein Smoothie,Rice Cake with Peanut Butter and Chocolate Chips,
3335.72,5,Avocado Sandwich,Basic Protein Shake,Blueberry Kale Salad,Light Raspberry yogurt,Mexican Street Corn
3674.12,3,Pumpkin Pecan Oatmeal,"Flour Tortilla with Peanut Butter, Blackberries, and Honey",Protein Yogurt and Blueberries,,
3674.12,4,Tropical Green Protein Smoothie,Apple Slice Sandwich,Chicken Celery Sticks,"Chickpea, Walnut, & Cucumber Yogurt",
3674.12,5,Pumpkin Pecan Oatmeal,Microwave Poached Eggs,Post-Workout Peanut Butter Shake,Peanut Butter & Celery,Tossed Salad with Artichoke Hearts and Chickpeas
1870.25,3,Sweet Potato Hash,Yogurt with Pumpkin & Cinnamon,Banana and Berries Smoothie,,
1870.25,4,Oatmeal Cottage Cheese Pancakes,Cinnamon Sugar Toast with Sea Salt,Chicken Celery Sticks,"Spinach, Ham, and Pear Salad",
1870.25,5,Black Bean Omelet,"Toast with Pear, Ricotta, & Honey",Strawberry Banana Protein Shake,Sprout Salad,Cucumber Avocado Toast
2244.3,3,High Protein Pancakes,Pecans,Strawberry Protein Shake,,
2244.3,4,Blueberry Maple Syrup Oatmeal,Yogurt with Almonds & Honey,Cilantro Crab & Corn Stuffed Peppers,"Turkey, Kale, and Goat Cheese Roll-Up",
2244.3,5,Savory Cr?pes,Yogurt & Cantaloupe,Cottage Cheese and Hummus Sandwich,Carrots with Hummus,Apple Spice Protein Shake
2571,3,Protein Yogurt and Blueberries,"Rice Cake with Peanut Butter, Pear, and Honey",Chocolate peanut protein shake,,
2571,4,Post-Workout Peanut Butter Shake,Cantaloupe,Turkey Hummus Wrap,Lettuce Cucumber Walnut Salad,
2571,5,Hard Boiled Egg and Avocado Bowl,Yogurt & Strawberries,Tuna Salad,Oranges,Prosciutto-Wrapped Pears with Blue Cheese
2898.89,3,Oatmeal Banana Peanut Butter Chocolate Shake,Cinnamon Toast,"Turkey, Provolone, and Sprout Sandwich",,
2898.89,4,Spicy Avocado Toast,Nonfat greek yogurt,Quick Avocado Tuna Sandwich,Peanut Butter & Carrots,
2898.89,5,Breakfast Burrito,"Toast with Tomato, Onion, & Hummus",Turkey Veggie Hummus Wrap,Almonds,Peanut Butter Berry Pineapple Protein Smoothie
3226.18,3,Ham and Cheese Egg Dunkers,Light Peach Yogurt,Peach Protein Smoothie,,
3226.18,4,Oatmeal and peaches,Cherry Berry Protein Smoothie,Blueberry Kale Salad,Yogurt with Matcha & Toasted Coconut,
3226.18,5,Ham and Egg Scramble,Apple Pie Kefir Smoothie,Quick Avocado Tuna Sandwich,Edamame Slaw,Broccoli and Apple Salad
3553.47,3,Pumpkin Pecan Oatmeal,"Toast with Cantaloupe, Walnuts, Agave & Goat Cheese",Avocado Breakfast Smoothie,,
3553.47,4,Pumpkin Pie Spiced Waffles,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Protein Yogurt and Blueberries,Chocolate Milk Whey Protein Shake,
3553.47,5,Chocolate Peanut Butter Pancakes,Yogurt Peanut Butter Dip & Apples,Simple Lemon Pepper Tuna,"Banana, Coffee, Cashew, and Cocoa Smoothie",Simple Ham and Lettuce Sandwich
1772.5,3,Breakfast Parfait,"Toast with Tomato, Onion, & Hummus",Easy Daily Spinach Salad,,
1772.5,4,Creamy Green Chia Smoothie,Goat Cheese on Toasted Bread with Tomato,Lime Chicken Salad,Edamame Slaw,
1772.5,5,Heuvos Rancheros,Toast with Tomato and Hummus,Coconut Blueberry Protein Shake,Cauliflower and Tahini,Avocado lettuce wrap
2127,3,Cinnamon Swirl Pumpkin Pie Protein Pancakes,Cinnamon Banana Mug Cake,Protein Yogurt and Blueberries,,
2127,4,Chocolate Peanut Butter Oatmeal Protein Shake,Guacamole on Tostada,Quick Avocado Tuna Sandwich,Avocado Rice Cake,
2127,5,Protein Silver Dollar Blueberry Pancakes,Pecans,Sunrise Smoothie,Balsamic Arugula Salad,Quick Buffalo Chicken Salad
2437.19,3,Peanut Butter Berry Pineapple Protein Smoothie,"Flour Tortilla with Peanut Butter, Blackberries, and Honey",Apple Walnut Parfait,,
2437.19,4,"Spinach, Pepper, and Tomato Scramble on Toast",Yogurt with Almonds & Honey,Paleo Avocado Tuna Salad (Tuna in Oil),"Ginger, Apple, and Mint Green Smoothie",
2437.19,5,Oatmeal Cottage Cheese Pancakes,Rice Cakes with Banana & Almond Butter,Peanut Butter and Banana Toast,Basic Protein Shake,Trail Mix
2747.38,3,Strawberry Banana Protein Shake,Rice Cake with Peanut Butter and Chocolate Chips,Protein Yogurt and Blueberries,,
2747.38,4,Blueberry and Sunflower Seed Steel Cut Oatmeal,Peanut Butter and Peach Toast,Strawberry Protein Shake,Orange and Pomegranate Salad,
2747.38,5,Blueberry Oatmeal,Microwave Poached Eggs,"Berry, Spinach, and Avocado Smoothie","Yogurt with Blueberries, Sunflower Seeds, and Honey",Trail Mix
3057.56,3,"Peanut Butter, Banana, and Oatmeal Pancakes",5-Minute Healthy Strawberry Frozen Yogurt,Banana oatmeal smoothie,,
3057.56,4,Vegetable 3 Egg Scramble,"Toast with Pear, Cottage Cheese, and Honey",Chicken and avocado salad,Apples and Almond Butter,
3057.56,5,Low Carb Maple Pecan Pancakes,Whey Chocolate Shake,All American Tuna,Raspberry Yogurt Parfait,Simple Caprese Sandwich
3367.75,3,Peanut Butter and Honey Oatmeal,Cottage Cheese & Apricots,Peanut Butter Mango Smoothie,,
3367.75,4,Protein oatmeal pancakes,Cinnamon Banana Mug Cake,Cilantro Crab & Corn Stuffed Peppers,Chocolate Avocado Smoothie,
3367.75,5,Blueberry and Sunflower Seed Steel Cut Oatmeal,Apples and Almond Butter on Toast,Tomato and Hummus Pocket Sandwich,Yogurt & Banana,Sunrise Peanut Butter Berry Protein Smoothie
1772.75,3,Raspberry Peanut Butter Protein Smoothie,Rice Cakes with Banana & Almond Butter,Chicken Caesar Wraps,,
1772.75,4,Cinnamon Protein Oats,Pecans,Blueberry Almond Butter Protein Smoothie,Balsamic Arugula Salad,
1772.75,5,Black Bean Omelet,Yogurt & Cantaloupe,Tuna and Avocado Wrap,"Orange, Banana, and Grape Smoothie",Chia Cottage Cheese with Blueberries
2127.3,3,Protein Power Oats,Apples and Almond Butter on Toast,Chicken and avocado salad,,
2127.3,4,High Protein Omelet,"Strawberry, Peach, and Chia Smoothie",Peach and Blueberry Parfait,Cucumber Avocado Salad,
2127.3,5,Protein Power Oats,Toast with Blueberries and Cream Cheese,Tuna Stuffed Pepper,Peppers Cucumber & Avocado Salad,"Turkey, Ham, and Avocado on Rye"
2437.53,3,Banana Almond Shake,Cinnamon Banana Mug Cake,Quick and Easy Chicken Salad Sandwich,,
2437.53,4,Low Carb Pancakes,Strawberry and Almond Butter Fruit Smoothie,Protein Yogurt and Blueberries,Lebanese Tomato and Onion Salad,
2437.53,5,Peaches and Cream Oatmeal,Yogurt with Walnuts & Honey,Turkey Veggie Hummus Wrap,Cucumber Salad,"Turkey, Ham, and Avocado on Rye"
2747.76,3,Vegetable 3 Egg Scramble,Yogurt & Mango,Strawberry Oatmeal Protein Smoothie,,
2747.76,4,Chocolate Blueberry Protein Shake,Cucumber Avocado Toast,Tuna and Avocado Wrap,Ants on a Log,
2747.76,5,Spinach and Poached Egg Muffins,Peaches and Almond Butter on Toast,"Turkey, Provolone, and Sprout Sandwich",Sliced bell pepper,Peanut Butter Berry Pineapple Protein Smoothie
3057.99,3,Blueberry Protein Oatmeal,Yogurt with Almonds & Honey,Banana oatmeal smoothie,,
3057.99,4,Vegetable 3 Egg Scramble,Cottage Cheese Honey Toast,Oatmeal Banana Peanut Butter Chocolate Shake,Easy Tossed Salad,
3057.99,5,Blueberry and Sunflower Seed Steel Cut Oatmeal,Peanut Butter and Peach Toast,Almonds and Blueberries Yogurt Snack,Ants on a Log,Peanut Butter Berry Pineapple Protein Smoothie
3368.22,3,Pumpkin Pecan Oatmeal,Yogurt with Pumpkin & Cinnamon,1000 Calorie Shake,,
3368.22,4,Protein Power Oats,Rice Cake with Peanut Butter and Chocolate Chips,"Turkey, Provolone, and Sprout Sandwich",Rice Cake with Salmon & Dill Spread,
3368.22,5,Grilled Breakfast Pizza,Apple Toast,Chocolate peanut protein shake,Almonds,Turkey Veggie Hummus Wrap
1648.75,3,"Egg, Avocado, and Bacon Scramble",Apple,Yogurt with Pumpkin & Cinnamon,,
1648.75,4,Yogurt with Avocado & Basil,Rice Cake with Strawberries and Honey,Lemon-Pepper Tuna Sandwich,Almonds,
1648.75,5,Microwave Peanut Butter Protein Oats,Microwave Poached Eggs,Raspberry Peanut Butter Protein Smoothie,Balsamic Arugula Salad,Chia Cottage Cheese with Blueberries
1978.5,3,Breakfast Burrito,Blueberry Yogurt,Simple Ham and Lettuce Sandwich,,
1978.5,4,Seedy Avocado Toast,Yogurt with Toasted Coconut,Sunrise Peanut Butter Berry Protein Smoothie,Cucumber Avocado Salad,
1978.5,5,Avocado and Salmon Toast,Cinnamon Yogurt with Sliced Apple,Quick Avocado Tuna Sandwich,Strawberries,Brie cheese on bread
2267.03,3,Greek Yogurt  with Mixed Berries,Chocolate Avocado Smoothie,Turkey Veggie Hummus Wrap,,
2267.03,4,Breakfast Burrito,Avocado Rice Cake,Quick Avocado Tuna Sandwich,Cauliflower and Hummus Snack,
2267.03,5,Spinach and Poached Egg Muffins,Buttered Toast,Turkey Wrap,Green Kale Salad,Sardine Salad Sandwich
2555.56,3,Monte Cristo sandwich,Fruit Salad,Banana Avocado Protein Smoothie,,
2555.56,4,Breakfast Greek Yogurt Delight,Peanut Butter and Peach Toast,Oatmeal banana protein shake,Green Kale Salad,
2555.56,5,Turkey and Cheese Omelet,Granola,Cilantro Crab & Corn Stuffed Peppers,Chopped Salad,Greek Yogurt and Fruit Salad
2844.09,3,Pumpkin Pecan Oatmeal,Bacon,Paleo Avocado Tuna Salad (Tuna in Water),,
2844.09,4,"Turkey, Goat Cheese, and Spinach Omelet",Toast with Tomato and Hummus,Strawberry Oatmeal Protein Smoothie,Thai Cucumber Salad,
2844.09,5,Broccolli Hash with Fried Egg,Cinnamon Honey Cottage Cheese,Mocha Berry Almond Smoothie,Bell Pepper and Hummus Snack,Yogurt Peanut Butter Dip & Apples
3132.62,3,Microwave Peanut Butter Protein Oats,Protein Berry Crumble,Avocado Breakfast Smoothie,,
3132.62,4,Peanut Butter Raspberry Oatmeal,Protein-boosted Yogurt,Oatmeal Banana Peanut Butter Chocolate Shake,Thai Cucumber Salad,
3132.62,5,Egg and Greens Skillet,Yogurt & Mango,Chocolate peanut protein shake,Simple Mixed Greens Salad,Maple Vinaigrette Couscous Salad
1554,3,Banana Flax Pancakes,Yogurt & Honeydew Melon,Blueberry Mint Smoothie,,
1554,4,Garlicky Bacon and Spinach Grilled Cheese,Apple Toast,Quick Nori Roll with Cucumber and Avocado,Yogurt & Raisins,
1554,5,Mushroom and Asparagus Scramble,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Banana Almond Shake,Thai Cucumber Salad,Truffle Popcorn
1864.8,3,Savory Cr?pes,Yogurt & Pineapple,Turkey Veggie Hummus Wrap,,
1864.8,4,Raspberry Peanut Butter Protein Smoothie,Cranberry Almond Energy Balls,Cucumber Tomato Salad with Tuna,Peanut Butter & Carrots,
1864.8,5,"Ham, Egg, and Spinach Roll-Ups","Strawberry, Peach, and Chia Smoothie",Avocado Chickpea Lettuce Wraps,Cottage Cheese with Cucumber and Tomato,Almonds and Blueberries Yogurt Snack
2136.75,3,Poached Egg and Crispy Prosciutto Toast,Cottage Cheese & Apricots,Sunrise Smoothie,,
2136.75,4,Cheesy Scrambled Eggs With Scallions,Honey Grapefruit with Banana,Cilantro Crab & Corn Stuffed Peppers,Apple Celery Salad,
2136.75,5,Paleo Tomato and Egg Scramble,Cinnamon Yogurt with Sliced Apple,"Turkey, corn and tomato wrap",Creamy Chocolate Protein Smoothie,Trail Mix
2408.7,3,Blueberry Oatmeal,Plum and Greek Yogurt Snack,Banana and Berries Smoothie,,
2408.7,4,Egg with Bacon and Brussel Sprout Hash,Cinnamon Honey Cottage Cheese,PB&J Smoothie,Cauliflower and Tahini,
2408.7,5,Pina Colada Chia Pudding,Yogurt & Applesauce,Quick Avocado Tuna Sandwich,Lebanese Fresh Thyme Tomato Salad,"Turkey, Ham, and Avocado on Rye"
2680.65,3,Feta & Pesto Omelette,Yogurt & Apricots,Chocolate peanut protein shake,,
2680.65,4,Peach and Blueberry Parfait,Cinnamon Sugar Toast with Sea Salt,Cottage Cheese and Hummus Sandwich,Green Bean Healthy Tuna Salad,
2680.65,5,Oatmeal Cottage Cheese Pancakes,Veggie Apple Smoothie,Cool Summer Cucumber Chicken and Tomato Toss,Edamame Slaw,Trail Mix
2952.6,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Strawberries,Banana Avocado Protein Smoothie,,
2952.6,4,Eggs Baked in Avocado,Yogurt & Pineapple,Oatmeal banana protein shake,Salsa salad,
2952.6,5,Homemade Turkey McMuffins,"Toast with Tomato, Onion, & Hummus",Post-Workout Peanut Butter Shake,Tomato and Radish Salad,Curried Popcorn
2216.25,3,Broccoli with Sesame Egg Ribbons,Cottage Cheese & Peaches,Tropical Green Protein Smoothie,,
2216.25,4,Blueberry Almond Butter Oatmeal,Honey and Melon Cottage Cheese,Blueberry Almond Butter Protein Smoothie,Mixed Greens with Sun-Dried Tomato Dressing,
2216.25,5,Cinnamon Raisin Protein Oatmeal,Avocado Rice Cake,Quick Buffalo Chicken Salad,Peach and Peanut Butter Snack,"Toast with Figs, Ricotta, & Sesame Seeds"
2659.5,3,Post-Workout Peanut Butter Shake,Turkish Style Zucchini Fritters,"Ham, Mozzarella, and Fig Sandwich on Ciabatta",,
2659.5,4,Oatmeal banana protein shake,Oranges,Apple Walnut Parfait,Almonds,
2659.5,5,Blueberry Oatmeal,Microwave Poached Eggs,Blueberry Almond Butter Protein Smoothie,Mixed Greens with Sun-Dried Tomato Dressing,Sardine Salad Sandwich
3047.34,3,Smoked Salmon and Egg Tortilla,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Yogurt Chocolate Banana Shake,,
3047.34,4,Avocado Sandwich,Yogurt with Cucumber & Lox,Turkey Veggie Hummus Wrap,Chocolate Milk Whey Protein Shake,
3047.34,5,Blueberry and Sunflower Seed Steel Cut Oatmeal,Peaches & Almond Butter on Toast,Strawberry Protein Shake,Carrots with Hummus,Simple Caprese Sandwich
3435.19,3,"Eggs, Cheese, and Radishes",Yogurt with Apricot and Grapefruit,Blueberry Almond Butter Protein Smoothie,,
3435.19,4,Egg in a nest,Cherry Berry Protein Smoothie,Tuna Salad  Wrap,Smoked Almond Cottage Cheese Endive Bites,
3435.19,5,Fried Egg Sandwich,Yogurt & Honeydew Melon,Oatmeal Banana Peanut Butter Chocolate Shake,Cantaloupe,Turkey Veggie Hummus Wrap
